COUNTRY,REGION,VALUE,YEAR,ad_type
Eritrea,Africa,no restrictions,2012,Wine
Ethiopia,Africa,no restrictions,2012,Spirits
France,Europe,partial restriction time/place,2012,Beer
Georgia,Europe,no restrictions,2012,Spirits
Greece,Europe,no restrictions,2012,Beer
Guatemala,Americas,no restrictions,2012,Wine
Hungary,Europe,partial restriction time/place,2012,Wine
India,South-East Asia,voluntary/self-restricted,2012,Spirits
Ireland,Europe,voluntary/self-restricted,2012,Wine
Italy,Europe,partial restriction time/place/content,2012,Spirits
Jordan,Eastern Mediterranean,ban,2012,Beer
Kiribati,Western Pacific,no restrictions,2012,Spirits
Lao People's Democratic Republic,Western Pacific,no restrictions,2012,Beer
Lithuania,Europe,no restrictions,2012,Beer
Madagascar,Africa,no restrictions,2012,Wine
Malaysia,Western Pacific,partial restriction content,2012,Spirits
Mali,Africa,no restrictions,2012,Beer
Mauritius,Africa,no restrictions,2012,Spirits
Monaco,Europe,no restrictions,2012,Beer
Mongolia,Western Pacific,ban,2012,Wine
Namibia,Africa,no restrictions,2012,Beer
Nepal,South-East Asia,no restrictions,2012,Wine
Netherlands,Europe,voluntary/self-restricted,2012,Spirits
Niger,Africa,voluntary/self-restricted,2012,Beer
Niue,Western Pacific,no restrictions,2012,Wine
Palau,Western Pacific,no restrictions,2012,Beer
Papua New Guinea,Western Pacific,no restrictions,2012,Wine
Peru,Americas,no restrictions,2012,Spirits
Republic of Korea,Western Pacific,no restrictions,2012,Spirits
Russian Federation,Europe,ban,2012,Beer
Saint Lucia,Americas,no restrictions,2012,Spirits
San Marino,Europe,no restrictions,2012,Beer
Saudi Arabia,Eastern Mediterranean,ban,2012,Wine
Sierra Leone,Africa,no restrictions,2012,Beer
Slovakia,Europe,no restrictions,2012,Wine
Sri Lanka,South-East Asia,no restrictions,2012,Wine
Suriname,Americas,no restrictions,2012,Spirits
Switzerland,Europe,partial restriction content,2012,Beer
Thailand,South-East Asia,partial restriction time/place,2012,Spirits
Togo,Africa,no restrictions,2012,Beer
Tonga,Western Pacific,no restrictions,2012,Wine
Turkmenistan,Europe,ban,2012,Beer
Uganda,Africa,no restrictions,2012,Wine
Uruguay,Americas,no restrictions,2012,Wine
Yemen,Eastern Mediterranean,ban,2012,Beer
Kuwait,Eastern Mediterranean,,2012,Spirits
Democratic People's Republic of Korea,South-East Asia,,2012,Beer
Djibouti,Eastern Mediterranean,,2012,Beer
Honduras,Americas,,2012,Beer
Jamaica,Americas,,2012,Spirits
Angola,Africa,voluntary/self-restricted,2012,Beer
Antigua and Barbuda,Americas,no restrictions,2012,Beer
Austria,Europe,no restrictions,2012,Spirits
Azerbaijan,Europe,partial restriction time/place/content,2012,Beer
Belarus,Europe,no restrictions,2012,Spirits
Belgium,Europe,no restrictions,2012,Beer
Bolivia (Plurinational State of),Americas,no restrictions,2012,Spirits
Bosnia and Herzegovina,Europe,ban,2012,Spirits
Burkina Faso,Africa,no restrictions,2012,Wine
Burkina Faso,Africa,no restrictions,2012,Spirits
Central African Republic,Africa,no restrictions,2012,Wine
Central African Republic,Africa,no restrictions,2012,Spirits
Comoros,Africa,no restrictions,2012,Wine
Congo,Africa,no restrictions,2012,Wine
